Temps [s];Marche [s/j];Amplitude [°]
804;-0.9;285
806;0.7;288
808;0.9;288
810;3.5;288
812;0.4;284
814;0.6;290
816;3.1;288
818;2.2;286
820;2.1;290
822;1.4;291
824;3.5;289
826;1.7;287
828;1.9;277
830;1;288
832;4;284
834;1.5;281
836;2.4;284
838;1.3;287
840;4.5;284
842;1.1;285
844;1.4;286
846;1.9;286
848;2.8;283
850;0.2;289
852;1;290
854;2.5;286
856;0.5;288
858;1.4;281
860;1;291
862;3.7;291
864;0;280
866;1.3;291
868;1.3;293
870;3.1;293
872;0.8;294
874;2;293
876;3.4;290
878;1.1;282
880;1.9;287
882;1;293
884;3.2;292
886;1.3;290
888;1.4;291
890;1.5;292
892;3.9;291
894;1.2;282
896;2;290
898;1.2;289
900;4.2;288
902;1.4;287
904;1.3;288
906;1.8;289
908;2.9;283
910;0.7;290
912;1;288
914;2.8;289
916;1;288
918;1.4;293
920;0.9;287
922;3.8;286
924;-0.4;288
926;1.7;293
928;1.9;292
930;4;289
932;0.9;280
934;2.1;292
936;3.7;290
938;1.6;291
940;2.6;287
942;1.5;288
944;3.7;290
946;1.2;287
948;1.9;287
950;1.3;289
952;4.7;287
954;2.2;286
956;2.7;283
958;1.6;286
960;4.2;280
962;0.8;283
964;1.2;281
966;2.3;280
968;3.4;279
970;1.7;277
972;1.5;282
974;3.2;276
976;0.6;281
978;1.5;282
980;1.7;282
982;4.5;277
984;0.3;280
986;1.9;277
988;1.8;279
990;3.1;277
992;1.2;280
994;1.5;279
996;3.5;276
998;0.7;266
1000;1.5;278
1002;0.6;278
1004;3.5;277
1006;0.8;274
1008;0.4;279
1010;1.1;273
1012;3.5;277
1014;0.4;278
1016;1.2;278
1018;0.3;280
1020;3;279
1022;-0.3;282
1024;0.4;282
1026;1.4;278
1028;2.6;280
1030;1.1;287
1032;0.9;287
1034;3;285
1036;0.7;284
1038;2.5;290
1040;1.5;288
1042;4.4;284
1044;0.7;287
1046;1.7;286
1048;1.8;287
1050;3.8;286
1052;0.9;286
1054;2.2;286
1056;3.6;285
1058;2.4;283
1060;2.5;283
1062;1.3;283
1064;3.5;281
1066;1.1;276
1068;1.1;283
1070;-0.4;284
1072;4.2;284
1074;-0.4;282
1076;0.4;288
1078;0.3;291
1080;4.5;286
1082;0.3;290
1084;0.4;292
1086;0.6;294
1088;3;292
1090;0.6;294
1092;1.3;290
1094;3.3;294
1096;2.1;294
1098;2.2;292
1100;1.7;296
1102;4.6;293
1104;1.4;291
1106;2.3;292
1108;2;290
1110;4.7;286
1112;1.8;289
1114;2.3;287
