Temps [s];Marche [s/j];Amplitude [°]
2;18.5;261
4;20.1;262
6;19.2;259
8;20.4;264
10;20.9;261
12;20.5;260
14;21.2;259
16;20.7;257
18;21.7;259
20;20.7;256
22;18.9;256
24;20.4;257
26;19.1;254
28;20.2;256
30;21.4;254
32;22.5;252
34;20.6;252
36;20.3;249
38;20;251
40;19.2;250
42;18.2;252
44;20.5;254
46;16.8;251
48;17.5;257
50;17.8;254
52;18;257
54;19.1;260
56;19.5;259
58;21;261
60;19.8;259
62;19.3;260
64;20.7;259
66;19.1;257
68;19.8;261
70;19.8;257
72;19.8;258
74;19;259
76;21;256
78;23.3;254
80;22;249
82;20.4;247
84;20.7;249
86;19.5;246
88;19.9;249
90;19.2;247
92;18.5;248
94;17.7;250
96;17.8;249
98;19.6;253
100;17.1;253
102;18.2;253
104;20.7;254
106;18.8;252
108;18.9;256
110;19.5;252
112;18.9;254
114;19.2;255
116;18.4;254
118;18.6;257
120;18;256
122;18.5;257
124;23.4;255
126;21.3;248
128;21.6;252
130;21.6;247
132;20.6;248
134;19.9;248
136;19.9;247
138;20.2;249
140;18.3;246
142;18.7;247
144;20.5;249
146;18.4;247
148;19.8;250
150;19.8;247
152;20;248
154;19.7;248
156;19.4;246
158;20;249
160;17;248
162;18.6;249
164;20;250
166;18.7;249
168;19.6;252
170;22.6;246
172;20.8;246
174;19.8;247
176;19.5;245
178;20;247
180;19.1;247
182;18.2;248
184;19.2;249
186;17.3;244
188;18.5;252
190;19.2;250
192;18.5;251
194;17.8;255
196;20.6;252
198;21.6;251
200;19.5;249
202;18.4;249
204;19.8;251
206;18.3;249
208;19.4;254
210;19;252
212;19.4;253
214;17.6;255
216;19.4;253
218;22.1;253
220;20;248
222;19;248
224;20.8;250
226;19.2;249
228;17.8;252
230;19.5;245
232;17.6;252
234;18;257
236;17.6;253
238;18.3;259
240;17;259
242;18.7;259
244;20.4;259
246;18.4;256
248;19.8;261
250;19.7;256
252;19.4;257
254;17.8;260
256;19.5;258
258;21;258
260;19.9;257
262;20.4;255
264;22.2;254
266;21;249
268;19.7;252
270;20.1;250
272;19.4;249
274;19.5;253
276;17.7;251
278;19.3;253
280;18.2;253
282;17.6;255
284;18.5;256
286;18.9;257
288;18.9;260
290;18.9;260
292;18.8;262
294;20.1;264
296;19.6;264
298;20.2;267
300;19.5;266
302;19.3;267
304;22.4;266
306;20.2;265
308;22.4;264
310;22;262
312;21.5;259
314;21.5;260
316;21.1;256
318;21.4;258
320;19.2;255
322;19.2;256
324;20.6;256
326;18.9;255
328;18.6;257
330;19.2;257
332;19.8;257
334;19.6;259
336;19.7;256
338;20.7;259
340;19;257
342;19.9;258
344;20.7;259
346;19.8;257
348;19.6;260
350;20.5;258
352;20.8;258
354;21.8;259
356;21.1;253
358;22.1;255
360;20.4;251
362;19.3;253
364;21.5;254
366;20.1;251
368;19.4;255
370;19.9;252
372;19.4;253
374;18.6;256
376;19.6;254
378;20.5;256
380;20.7;252
382;20.3;252
384;21.6;254
386;20.1;251
388;20.1;253
390;19.8;251
392;19.3;252
394;17.6;254
396;18.7;253
398;20.4;256
400;19.2;253
402;21.4;253
404;22.8;251
406;21.2;248
408;19.2;252
410;20;251
412;19.8;253
414;19.9;253
416;17.9;253
418;19.1;258
420;17.9;257
422;17.7;260
424;20.4;261
426;19.6;259
428;20.5;261
430;20.8;258
432;20.3;259
434;18.9;260
436;19.6;258
438;20.8;260
440;19.7;256
442;19.4;258
444;20;259
446;21.3;255
448;21.8;257
450;21.4;253
452;21;253
454;19.4;255
456;19.2;253
458;19.8;254
460;17.5;254
462;17.9;257
464;19.9;257
466;19.5;257
468;17.6;263
470;19.1;262
472;21.3;262
474;20.9;263
476;20.1;262
478;21.1;263
480;19.7;262
482;19.5;262
484;20.9;263
486;20.4;261
488;20.3;265
490;21.5;262
492;23.2;261
494;21.7;260
496;21.2;255
498;21.8;257
500;20.2;252
502;19.7;253
504;20.7;253
506;19.2;252
508;20.4;256
510;18.9;255
512;19.4;254
514;18.7;259
516;18.3;255
518;20.1;259
520;19.7;257
522;19.7;258
524;20.8;258
526;19.9;255
528;18;261
530;19.7;258
532;19.4;260
534;19.9;261
536;19.8;261
538;22.5;261
540;20.9;256
542;20.1;256
544;21.3;255
546;19.9;253
548;20;257
550;20.1;251
552;19.9;254
554;18;256
556;19;253
558;19.7;257
560;18.7;254
562;18.6;257
564;20.3;257
566;20.4;253
568;20.3;256
570;20.2;253
572;20;254
574;19.1;256
576;18.6;254
578;20;257
580;17.3;253
582;18.8;258
584;21.9;257
586;22.6;251
588;20.7;254
590;20.5;249
592;20.5;250
594;20.2;252
596;19.1;251
598;19.6;254
600;19.1;252
602;17.8;256
604;19.3;256
606;18.5;253
608;19.2;260
610;21.4;256
612;19.9;258
614;20;259
616;20.1;256
