Zeit	Gang	Gang	Gang	Gang	Gang	Gang	Gang	Gang	Gang	Repere	Repere	Repere	Repere	Repere	Repere	Repere	Repere	Amplitude	Amplitude	Amplitude	Amplitude	Amplitude	Amplitude	Amplitude	Amplitude	Amplitude	E	
Zeit	CH	CB	9H	6H	3H	12H	X	D	DVH	CH	CB	9H	6H	3H	12H	X	D	CH	CB	9H	6H	3H	12H	X	D	DVH		
000:05:42	-3.4									0.2								303										
000:05:44	-2.3									0.0								305										
000:05:46	2.4									0.0								305										
000:05:48	-1.4									0.2								304										
000:05:50	-1.3									0.0								305										
000:05:52	2.8									0.1								307										
000:05:54	-7.9									0.2								307										
000:05:56	-4.5									0.1								305										
000:05:58	-0.2									0.1								306										
000:06:00	-8.9									0.1								306										
000:06:02	2.0									0.0								306										
000:06:04	2.3									0.1								305										
000:06:06	-10.2									0.1								307										
000:06:08	1.6									0.0								308										
000:06:10	2.9									0.1								308										
000:06:12	-5.7									0.0								307										
000:06:14	1.0									0.0								310										
000:06:16	0.8									0.1								309										
000:06:18	-4.7									0.0								308										
000:06:20	1.0									0.0								309										
000:06:22	0.7									0.1								308										
000:06:24	-0.7									0.0								309										
000:06:26	2.2									0.0								307										
000:06:28	-6.9									0.1								307										
000:06:30	-6.1									0.0								307										
000:06:32	4.5									0.1								306										
000:06:34	-7.8									0.1								304										
000:06:36	-5.2									0.0								304										
000:06:38	-1.0									0.1								305										
000:06:40	-6.5									0.2								303										
000:06:42	-0.3									0.0								304										
000:06:44	-0.8									0.1								305										
000:06:46	-8.6									0.1								305										
000:06:48	4.2									0.0								304										
000:06:50	0.5									0.1								305										
000:06:52	-5.1									0.0								306										
000:06:54	3.1									0.0								307										
000:06:56	2.9									0.1								303										
000:06:58	-4.6									0.0								304										
000:07:00	3.3									0.0								305										
000:07:02	1.1									0.2								304										
000:07:04	-1.9									0.0								304										
000:07:06	2.3									0.0								306										
000:07:08	-7.2									0.2								306										
000:07:10	-5.4									0.0								306										
000:07:12	0.6									0.1								306										
000:07:14	-9.6									0.2								306										
000:07:16	-1.1									0.0								307										
000:07:18	3.5									0.1								305										
000:07:20	-8.7									0.1								305										
000:07:22	-3.8									0.0								306										
000:07:24	-1.5									0.1								306										
000:07:26	-7.4									0.1								303										
000:07:28	1.9									0.0								304										
000:07:30	3.5									0.1								304										
000:07:32	-3.6									0.1								301										
000:07:34	3.1									0.0								299										
000:07:36	2.5									0.1								299										
000:07:38	-4.0									0.0								299										
000:07:40	5.7									0.0								300										
000:07:42	-1.6									0.1								299										
000:07:44	-2.0									0.0								301										
000:07:46	2.1									0.0								303										
000:07:48	-1.2									0.2								302										
000:07:50	-0.1									0.0								303										
000:07:52	3.3									0.1								303										
000:07:54	-7.7									0.2								303										
000:07:56	0.6									0.0								301										
000:07:58	1.3									0.1								302										
000:08:00	-8.8									0.1								303										
000:08:02	-2.0									0.0								303										
000:08:04	-2.3									0.1								303										
000:08:06	-10.4									0.1								305										
000:08:08	1.3									0.0								307										
000:08:10	2.7									0.1								307										
000:08:12	-5.3									0.1								306										
000:08:14	1.4									0.0								308										
000:08:16	0.5									0.1								308										
000:08:18	-3.2									0.0								307										
000:08:20	1.9									0.0								308										
000:08:22	0.4									0.2								307										
000:08:24	-2.0									0.0								308										
000:08:26	3.7									0.0								306										
000:08:28	-7.1									0.1								306										
000:08:30	-5.7									0.0								306										
000:08:32	4.8									0.1								304										
000:08:34	-6.3									0.2								301										
000:08:36	-6.5									0.0								302										
000:08:38	1.1									0.1								302										
000:08:40	-6.6									0.1								300										
000:08:42	-4.1									0.0								301										
000:08:44	-0.1									0.2								303										
000:08:46	-7.9									0.1								303										
000:08:48	3.5									0.0								302										
000:08:50	1.1									0.1								303										
000:08:52	-3.9									0.0								305										
000:08:54	2.5									0.0								305										
000:08:56	2.9									0.1								302										
000:08:58	-4.4									0.0								303										
000:09:00	3.2									0.0								304										
000:09:02	2.6									0.1								303										
000:09:04	-2.4									0.0								302										
000:09:06	2.4									0.0								304										
000:09:08	-7.1									0.2								305										
000:09:10	-5.6									0.0								306										
000:09:12	1.7									0.1								305										
000:09:14	-9.5									0.2								307										
000:09:16	-3.0									0.0								309										
000:09:18	4.6									0.1								307										
000:09:20	-10.0									0.1								306										
000:09:22	-0.9									0.0								308										
000:09:24	-1.7									0.1								309										
000:09:26	-7.7									0.1								306										
000:09:28	1.5									0.0								307										
000:09:30	3.9									0.1								305										
000:09:32	-4.4									0.0								302										
000:09:34	2.4									0.0								302										
000:09:36	0.1									0.1								302										
000:09:38	-6.6									0.0								303										
000:09:40	3.9									0.0								303										
000:09:42	-2.1									0.2								303										
000:09:44	-2.4									0.0								306										
000:09:46	2.8									0.0								306										
000:09:48	-4.8									0.2								304										
000:09:50	-4.2									0.0								305										
000:09:52	2.9									0.1								306										
000:09:54	-7.9									0.2								306										
000:09:56	0.0									0.0								304										
000:09:58	2.1									0.1								305										
000:10:00	-8.2									0.1								304										
