Temps [s];Marche [s/j];Amplitude [°]
2;3.7;265
4;5;263
6;2.9;262
8;2.7;260
10;2.7;260
12;1.8;260
14;0.6;260
16;1.1;261
18;1.4;260
20;1.1;263
22;1.1;263
24;2.2;264
26;1.4;266
28;1.5;266
30;3.3;268
32;2.1;266
34;2.8;268
36;3.1;268
38;2.6;267
40;3.3;269
42;3.1;268
44;4.4;268
46;2.7;268
48;3.4;267
50;4.4;266
52;3.6;263
54;3.2;263
56;2.5;263
58;1.6;262
60;2.3;264
62;1.8;263
64;3;264
66;1.5;265
68;2.1;265
70;2.5;266
72;1.6;265
74;2.5;267
76;2.9;267
78;2.7;265
80;2.8;266
82;2.2;266
84;3.8;266
86;2.1;266
88;1.7;267
90;3.4;268
92;2.6;267
94;3.6;268
96;2.7;268
98;3.2;267
100;3.4;268
102;3.1;267
104;4.1;267
106;1.5;268
108;2.6;268
110;3.1;269
112;2.7;268
114;3.3;269
116;2.6;271
118;2.7;269
120;4;271
122;3.9;269
124;4.8;268
126;3;268
128;3.3;266
130;3.4;266
132;2.3;265
134;2.8;266
136;2.1;267
138;2.7;265
140;2.6;266
142;2.6;266
144;4.6;264
146;2.6;264
148;2;264
150;3.3;265
152;2.3;264
154;2.8;265
156;1.5;267
158;2.5;266
160;2.2;269
162;2;270
164;3.9;271
166;3.2;271
168;3.6;270
170;4.2;271
172;3.4;268
174;3.7;270
176;3.6;270
178;3.6;267
180;3.7;268
182;3.1;267
184;4.6;266
186;2.3;266
188;3.9;265
190;4.6;263
192;3.4;260
194;3;261
196;2;261
198;2;258
200;1.1;260
202;0.6;261
204;2.6;261
206;0.7;262
208;1;263
210;2;265
212;1.4;265
214;2.6;267
216;2.9;267
218;3.4;265
220;1.5;268
222;3.4;266
224;3.5;267
226;3.6;265
228;2.1;265
230;2;267
232;2.2;266
234;3.8;266
236;4.3;264
238;4.3;261
240;2.2;262
242;2.3;260
244;4.5;258
246;1.2;259
248;2.1;257
250;2.5;258
252;1.2;257
254;1.1;259
256;0.4;261
258;1.4;259
260;1.3;262
262;3.1;260
264;2;261
266;1.3;261
268;0.2;261
270;1.9;264
272;1.3;264
274;1.5;267
276;1.2;269
278;3.2;268
280;2.5;270
282;3.1;269
284;5.8;268
286;2.9;268
288;3.2;267
290;3.9;267
292;3;264
294;3.1;266
296;1.9;266
298;3.2;265
300;1.6;267
302;1.8;268
304;4.7;267
306;2.6;267
308;3.6;266
310;3.8;266
312;3;263
314;2.9;265
316;2.1;265
318;2.4;263
320;2.4;265
322;1.7;265
324;3.7;265
326;2.7;265
328;2.6;264
330;2.8;266
332;2.9;263
334;2.7;265
336;1.6;266
338;4.7;264
340;1.2;266
342;1.5;266
344;3.7;267
346;1.3;268
348;2;268
350;2.9;270
352;3.8;267
354;3.6;268
356;3;268
358;4.7;266
360;3;267
362;2.6;266
364;4.7;265
366;1.9;265
368;3.2;264
370;4.2;264
372;2.8;261
374;2.4;262
376;1.8;262
378;3.7;259
380;2.4;261
382;1.6;260
384;3.1;260
386;1;260
388;0.8;260
390;1.3;262
392;1.6;261
394;2;263
396;1.2;265
398;3.9;263
400;1.3;265
402;1.5;265
404;4;265
406;2.1;265
408;2.2;264
410;2.8;266
412;2.5;264
414;2.8;265
416;2.2;265
418;3.7;263
420;3.1;264
422;3.1;262
424;4.9;260
426;1.4;259
428;2.1;258
430;1.7;259
432;1.7;258
434;1.4;259
436;0.7;260
438;2.3;258
440;0.7;261
442;0.7;262
444;3.3;262
446;1.5;262
448;1.5;263
450;2.3;264
452;2;263
454;2.8;265
456;1.6;266
458;3.7;264
460;2.4;265
462;2.2;264
464;4.5;264
466;1.8;264
468;2.2;263
470;2.6;265
472;2;262
474;3;263
476;2.4;264
478;3.1;262
480;2.1;264
482;1.3;263
484;4;263
486;1;263
488;2.6;263
490;3.1;264
492;1.9;263
494;1.9;264
496;2;265
498;2.2;263
500;2.3;265
502;1.6;265
504;3.3;265
506;1.6;266
508;2.3;266
510;2.7;267
512;2.6;266
514;3.3;267
516;2.5;268
518;3.6;266
520;2.2;269
522;2;269
524;4.7;269
526;2.3;270
528;2.6;269
530;3;272
